Tombo;local_num;Localidade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
45320;;Caseara;9;15;9;12;8;14;266;4;3;38;11;2;14;21;8;11;89;21;13;8;NA;0;1;1;2;0;0;0;0
45308;;Caseara;9;13;11;10;9;13;273;NA;NA;40;8;5;14;21;6;12;NA;21;13;9;NA;0;1;1;2;0;0;0;0
45303;;Caseara;8;14;11;11;8;13;NA;NA;NA;NA;NA;5;14;20;7;10;NA;19;13;7;NA;NA;NA;0;NA;NA;0;0;0
53068;;MonteAlegre;9;15;12;12;10;16;NA;7;6;47;11;4;14;20;7;12;92;19;16;6;13;0;1;0;0;0;0;2;0
53066;;MonteAlegre;9;16;12;10;10;15;NA;4;4;NA;NA;2;14;20;7;12;81;20;15;7;13;0;1;1;2;0;0;2;0
53051;;MonteAlegre;9;17;10;10;8;16;NA;NA;NA;NA;NA;NA;NA;17;7;12;NA;NA;17;NA;NA;0;1;0;0;0;0;1;0
53083;;MonteAlegre;9;15;11;10;10;16;229;NA;NA;38;6;2;13;19;8;13;85;20;15;NA;NA;0;1;0;2;1;0;1;NA
53059;;MonteAlegre;9;16;10;10;10;15;248;5;4;37;11;4;14;19;8;14;85;19;15;6;NA;0;1;0;2;0;0;1;0
53078;;MonteAlegre;8;15;10;10;9;15;231;NA;NA;32;8;3;14;18;11;12;84;18;15;NA;NA;0;1;0;2;0;0;1;NA
53054;;MonteAlegre;9;17;11;12;10;16;253;NA;4;41;12;2;14;20;7;12;84;20;15;7;NA;0;1;1;0;0;0;1;0
53082;;MonteAlegre;8;15;11;10;10;16;282;5;2;42;11;3;14;21;6;13;80;20;15;6;NA;0;1;1;2;0;0;1;0
53074;;MonteAlegre;9;15;10;12;10;16;NA;5;5;NA;0;0;14;NA;6;12;86;20;14;8;NA;0;2;0;2;1;1;2;0
53084;;MonteAlegre;8;12;12;9;10;17;NA;4;5;NA;0;0;14;21;7;13;86;20;15;8;NA;0;1;1;2;0;1;2;0
53075;;MonteAlegre;9;15;9;10;10;17;NA;7;5;NA;NA;NA;14;NA;6;13;NA;19;16;7;13;0;1;1;2;0;0;1;0
53058;;MonteAlegre;9;17;9;10;10;17;263;NA;NA;38;9;2;14;21;8;12;85;20;14;NA;NA;0;1;0;2;0;0;1;NA
53077;;MonteAlegre;9;16;10;10;9;13;274;NA;NA;43;11;3;14;19;6;12;82;20;15;7;NA;0;1;1;2;0;0;0;NA
53076;;MonteAlegre;10;15;11;10;10;15;266;NA;NA;39;8;3;14;20;5;12;88;21;15;NA;NA;0;1;1;2;0;0;2;NA
53080;;MonteAlegre;9;16;10;10;8;15;NA;8;5;NA;NA;NA;14;NA;6;12;NA;NA;15;6;NA;0;1;1;2;1;0;1;0
53060;;MonteAlegre;9;15;11;10;8;16;248;NA;NA;41;9;2;14;NA;7;12;NA;19;14;6;NA;0;1;0;0;0;0;1;NA
53062;;MonteAlegre;9;16;9;11;10;16;269;NA;NA;42;9;2;14;21;6;13;91;21;11;5;NA;0;1;0;0;0;0;1;NA
53057;;MonteAlegre;8;15;10;10;10;15;249;NA;NA;39;9;2;14;NA;7;12;NA;20;15;NA;NA;0;1;1;0;0;0;2;NA
53071;;MonteAlegre;9;15;11;8;8;15;251;6;5;38;11;2;15;21;6;12;89;19;16;7;NA;0;1;1;0;0;0;2;0
53052;;MonteAlegre;9;17;10;10;9;16;256;NA;NA;41;11;3;14;20;6;13;87;19;17;NA;NA;0;1;1;0;0;0;1;NA
53085;;MonteAlegre;9;15;11;9;10;15;271;NA;NA;38;13;3;14;NA;5;11;NA;19;16;8;NA;0;2;0;2;0;0;2;0
53055;;MonteAlegre;9;16;11;9;10;NA;NA;6;7;NA;NA;NA;NA;NA;5;12;NA;NA;15;8;10;0;1;0;2;0;NA;2;0
