"","ID","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Locality","Brazilian State","Latitude","Longitude","gymno_clades","Species","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"135","408",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"136","401",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"137","404",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"138","411",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"139","406",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"140","12435",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"141","400",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"142","409",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"143","17522",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"144","12434",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"145","405",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"146","17521",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"147","414",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"148","415",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"149","416",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"150","412",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"151","417",NA,NA,NA,"CHUNB",NA,"SIM","AltoParaiso",NA,NA,-14.16222,-47.52332,3,NA,NA,NA
"152","93075",NA,NA,NA,"CHUNB",NA,"SIM","AltoParnaiba",NA,NA,-9.1,-45.95,NA,NA,NA,NA
"153","78736",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"154","78735",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"155","78732",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"156","78733",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"157","78738",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"158","78737",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"159","78734",NA,NA,NA,"MZUSP",NA,"SIM","BarradoGarcas",NA,NA,-15.88333333,-52.25,4,NA,NA,NA
"160","4020",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"161","4030",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"162","4021",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"163","4007",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"164","4033",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"165","4026",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"166","4015",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"167","4013",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"168","4017",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"169","4019",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"170","4032",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"171","4008",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"172","4006",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"173","4018",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"174","4031",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"175","4025",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"176","4016",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"177","4029",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"178","4009",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"179","4010",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"180","4014",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"181","4022",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"182","4011",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"183","4028",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"184","4027",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
"185","4012",NA,NA,NA,"MZUSP",NA,"SIM","BarraRioSaoDomingos",NA,NA,-13.24,-47.12,NA,NA,NA,NA
