"","ID","UF","Altitude (m)","HemipenisMedido","Especie_Welington","Hemipenis_Evertido","No_LACV","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Latitude","Longitude","gymno_clades","Especie_Fabricius","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"122","28220","TO","629",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","Mateiros","-10.70224","-46.41278",10,"G. amarali Clade H","21","KM283272/ KM283346"
"123","24256","TO","719",NA,NA,NA,NA,2376.59,388,"SIM",NA,NA,NA,"Natividade","-11.69","-47.7",NA,"G. amarali",NA,NA
"124","10433","TO","233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmas_East","-10.42","-48.36",NA,"G. amarali",NA,NA
"125","10440","TO","657",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Palmas","-10.19","-48.11",NA,"G. amarali Clade H","36","KM283294/ KM283330"
"126","10442","TO","657",NA,NA,NA,NA,2008.26,390,"SIM","GRC","SIM",NA,"Palmas","-10.19","-48.11",NA,"G. amarali Clade H","36","KM283295/ KM283331"
"127","10488","TO","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmas_West","-10.24","-48.44",NA,"G. amarali",NA,NA
"128","10495","TO","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmas_West","-10.24","-48.44",NA,"G. amarali",NA,NA
"129","10527","TO","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmas_West","-10.24","-48.44",NA,"G. amarali",NA,NA
"130","10771","TO","657",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Palmas","-10.19","-48.11",NA,"G. amarali Clade F","37","KM283292/ KM283332"
"131","10773","TO","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmas_West","-10.24","-48.44",NA,"G. amarali",NA,NA
"132","10775","TO","226",NA,NA,NA,NA,1978.32,391,"SIM",NA,NA,NA,"Palmas_West","-10.24","-48.44",NA,"G. amarali",NA,NA
"133","14555","TO","657",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Palmas","-10.18914","-48.10853",NA,"G. amarali Clade F","38","KM283293/ KM283333"
"134","15767","TO","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"135","15743","TO","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"136","33569","TO","284",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Parana","-12.75309","-47.75906",7,"G. amarali",NA,NA
"137","15782","TO","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"138","15780","TO","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"139","37125","TO","289",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Parana","-12.75309","-47.75906",7,"G. amarali Clade G","42","KM283303/ KM283349"
"140","15869","TO","289",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Paranã","-12.75","-47.76",NA,"G. amarali Clade G","40","KM283301/ KM283341"
"141","15799","TO","284",NA,NA,NA,NA,5219.43,390,"SIM",NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"142","37128","TO","289",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Parana","-12.75309","-47.75906",7,"G. amarali Clade G","41","KM283304/ KM283350"
"143","15795","TO","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"144","15797","TO","284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parana","-12.75","-47.76",NA,"G. amarali",NA,NA
"145","15781","TO","289",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Paranã","-12.75","-47.76",NA,"G. amarali Clade G","39","KM283300/ KM283340"
"146","37090","TO","289",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Parana","-12.75309","-47.75906",7,"G. amarali Clade G","41","KM283302/ KM283348"
"147","24311","TO","293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peixe","-11.88","-48.77",NA,"G. amarali",NA,NA
"148","3949","TO","321",NA,NA,NA,NA,NA,NA,NA,"MRT","SIM",NA,"Peixe","-12.03","-48.35",NA,"G. amarali Clade H","43","KM283323/ KM283409"
"149","52612","TO","326",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Peixe","-12.03333333","-48.35",6,"G. amarali",NA,NA
"150","52609","TO","326",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Peixe","-12.03333333","-48.35",6,"G. amarali",NA,NA
"151","4459","TO","321",NA,NA,NA,NA,NA,NA,NA,"MRT","SIM",NA,"Peixe","-12.03","-48.35",NA,"G. amarali Clade H","44","KM283254/ KM283410"
"152","62666","TO","326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peixe","-12.03","-48.35",NA,"G. amarali",NA,NA
