"","X","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"86",870,"37086","CHUNB","Parana",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"96",871,"37093","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"107",872,"33548","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"116",873,"33581","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"126",874,"33542","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"135",875,"33549","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"145",876,"37116","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"156",877,"37123","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"166",878,"33540","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"176",879,"33570","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"186",880,"33553","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"196",881,"33544","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"206",882,"33561","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
